squirrel_id,sex,year,observer,cohort,grid,trialnumber,trialdate,taglft,tagrt,colours,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,comments,litter_id,fieldBDate,litter_size,n1_date,n1_weight,n2_date,n2_weight,dam_id,part,julian_trialdate
6317,F,2005,AKB,2005,AG,1,2005-06-27,44599,44600,NA,32.445,3,5,7.515,0,17.28,271.845,NA,0,300,0,121.57,121.57,NA,NA,NA,3199,2005-04-18,4,109,11,2005-05-19,62,7000,108,178
6367,F,2005,AKB,2005,AG,1,2005-07-17,46420,46421,NA,25.245,19,9,339.48,0,4.05,30.33,NA,6.42,0,0,300,4.93,NA,NA,NA,3191,2005-05-03,3,126,13,2005-06-02,42,6504,123,198
6416,F,2005,AKB,2005,SU,1,2005-08-15,46721,46722,NA,120.69,90,16.05,168.3,0,7.02,14.805,NA,5.7,162.48,0,300,25.13,NA,NA,NA,3341,2005-05-13,3,141,18,2005-06-19,67,6954,133,227
6419,M,2005,AKB,2005,AG,1,2005-07-14,43850,43851,NA,42.615,17,8.4,227.52,0,10.26,106.695,NA,0,300,0,227.7,227.7,NA,NA,NA,3202,2005-05-20,2,142,14,2005-06-21,48,7017,140,195
6423,M,2005,AKB,2005,KL,1,2005-08-16,46703,46704,NA,65.25,21,3,61.965,0,56.205,168.21,NA,121.08,12.9,2,82.13,5.13,NA,NA,NA,3240,2005-04-25,2,152,NA,2005-06-01,78,6359,115,228
6456,F,2005,AKB,2005,SU,1,2005-08-30,46803,46804,NA,121.5,104,12.98,130.275,0,11.16,36.81,NA,0.93,298.38,1,0.86,0.86,NA,NA,NA,3354,2005-06-04,2,158,12,2005-07-13,65,7584,155,242
6472,M,2005,AKB,2005,SU,1,2005-09-05,46805,46806,NA,143.055,110,15.08,116.775,15.795,6.03,18.9,NA,83.1,62.97,0,300,52.3,NA,NA,NA,3354,2005-06-04,2,158,15,2005-07-13,73,7584,155,248
6483,M,2005,AKB,2005,KL,1,2005-09-08,46867,46868,NA,107.055,83,31.05,37.35,48.105,18,71.145,NA,0,300,0,300,300,NA,NA,NA,3275,2005-07-04,2,190,15,2005-08-09,108,7609,185,251
6492,F,2005,AKB,2005,KL,1,2005-09-16,48209,48210,NA,120.96,91,27.98,67.41,13.545,12.96,60.3,NA,0,300,0,300,300,NA,NA,NA,3281,2005-07-20,5,205,14,2005-08-21,67,8576,201,259
6499,M,2005,AKB,2005,SU,1,2005-08-10,47532,47533,NA,191.34,89,38.03,52.74,27.855,4.86,23.4,NA,189.33,43.83,26,53.3,52.93,NA,NA,NA,3319,2005-05-12,3,152,45,2005-06-12,58,6342,132,222
